Date,Price
2025-12-31,0.8511
2025-12-30,0.8506
2025-12-29,0.8499
2025-12-24,0.8484
2025-12-23,0.8485
2025-12-22,0.8514
2025-12-19,0.8538
2025-12-18,0.8533
2025-12-17,0.8531
2025-12-16,0.8492
2025-12-15,0.8508
2025-12-12,0.8524
2025-12-11,0.8537
2025-12-10,0.8595
2025-12-09,0.8593
2025-12-08,0.858
2025-12-05,0.8587
2025-12-04,0.8572
2025-12-03,0.857
2025-12-02,0.861
2025-12-01,0.8587
2025-11-28,0.8646
2025-11-27,0.8631
2025-11-26,0.8638
2025-11-25,0.8657
2025-11-24,0.8663
2025-11-21,0.8681
2025-11-20,0.8685
2025-11-19,0.8633
2025-11-18,0.8628
2025-11-17,0.8626
2025-11-14,0.8585
2025-11-13,0.8607
2025-11-12,0.8639
2025-11-11,0.8639
2025-11-10,0.8642
2025-11-07,0.865
2025-11-06,0.8671
2025-11-05,0.8702
2025-11-04,0.8702
2025-11-03,0.8685
2025-10-31,0.8655
2025-10-30,0.8658
2025-10-29,0.8594
2025-10-28,0.8598
2025-10-27,0.8591
2025-10-24,0.8612
2025-10-23,0.8626
2025-10-22,0.863
2025-10-21,0.8615
2025-10-20,0.858
2025-10-17,0.8561
2025-10-16,0.8584
2025-10-15,0.8604
2025-10-14,0.8656
2025-10-13,0.8644
2025-10-10,0.8645
2025-10-09,0.8613
2025-10-08,0.8601
2025-10-07,0.8572
2025-10-06,0.8563
2025-10-03,0.8522
2025-10-02,0.8508
2025-10-01,0.853
2025-09-30,0.8517
2025-09-29,0.853
2025-09-26,0.8568
2025-09-25,0.8519
2025-09-24,0.8506
2025-09-23,0.848
2025-09-22,0.8488
2025-09-19,0.8521
2025-09-18,0.8462
2025-09-17,0.8448
2025-09-16,0.847
2025-09-15,0.8499
2025-09-12,0.8534
2025-09-11,0.8558
2025-09-10,0.8542
2025-09-09,0.8515
2025-09-08,0.8527
2025-09-05,0.8549
2025-09-04,0.8586
2025-09-03,0.8581
2025-09-02,0.8587
2025-09-01,0.8536
2025-08-29,0.8578
2025-08-28,0.8565
2025-08-27,0.8626
2025-08-26,0.8579
2025-08-25,0.8549
2025-08-22,0.8615
2025-08-21,0.8592
2025-08-20,0.8583
2025-08-19,0.856
2025-08-18,0.8567
2025-08-15,0.8556
2025-08-14,0.8554
2025-08-13,0.8539
2025-08-12,0.8616
2025-08-11,0.8604
2025-08-08,0.8585
2025-08-07,0.8589
2025-08-06,0.8618
2025-08-05,0.8661
2025-08-04,0.8647
2025-08-01,0.8769
2025-07-31,0.8737
2025-07-30,0.8675
2025-07-29,0.8671
2025-07-28,0.8581
2025-07-25,0.853
2025-07-24,0.8506
2025-07-23,0.8528
2025-07-22,0.8548
2025-07-21,0.8571
2025-07-18,0.8584
2025-07-17,0.8636
2025-07-16,0.8619
2025-07-15,0.8573
2025-07-14,0.8554
2025-07-11,0.8559
2025-07-10,0.854
2025-07-09,0.8548
2025-07-08,0.8534
2025-07-07,0.8527
2025-07-04,0.8498
2025-07-03,0.8488
2025-07-02,0.8507
2025-07-01,0.8467
2025-06-30,0.8532
2025-06-27,0.8544
2025-06-26,0.8551
2025-06-25,0.8622
2025-06-24,0.8615
2025-06-23,0.8717
2025-06-20,0.8684
2025-06-19,0.8712
2025-06-18,0.869
2025-06-17,0.8645
2025-06-16,0.864
2025-06-13,0.8687
2025-06-12,0.8625
2025-06-11,0.8747
2025-06-10,0.875
2025-06-09,0.8764
2025-06-06,0.8763
2025-06-05,0.8754
2025-06-04,0.8784
2025-06-03,0.8783
2025-06-02,0.8757
2025-05-30,0.8819
2025-05-29,0.8864
2025-05-28,0.8836
2025-05-27,0.8806
2025-05-26,0.8787
2025-05-23,0.8849
2025-05-22,0.8843
2025-05-21,0.8833
2025-05-20,0.8896
2025-05-19,0.8879
2025-05-16,0.8933
2025-05-15,0.8941
2025-05-14,0.8917
2025-05-13,0.8999
2025-05-12,0.9004
2025-05-09,0.8887
2025-05-08,0.8852
2025-05-07,0.8803
2025-05-06,0.883
2025-05-05,0.8816
2025-05-02,0.8816
2025-04-30,0.8793
2025-04-29,0.8793
2025-04-28,0.8804
2025-04-25,0.8805
2025-04-24,0.879
2025-04-23,0.876
2025-04-22,0.8714
2025-04-17,0.8803
2025-04-16,0.8807
2025-04-15,0.8831
2025-04-14,0.879
2025-04-11,0.8814
2025-04-10,0.9024
2025-04-09,0.9054
2025-04-08,0.9132
2025-04-07,0.9118
2025-04-04,0.9044
2025-04-03,0.9011
2025-04-02,0.9257
2025-04-01,0.927
2025-03-31,0.9246
2025-03-28,0.9262
2025-03-27,0.9272
2025-03-26,0.927
2025-03-25,0.9238
2025-03-24,0.9239
2025-03-21,0.9236
2025-03-20,0.9231
2025-03-19,0.9177
2025-03-18,0.9159
2025-03-17,0.9172
2025-03-14,0.9184
2025-03-13,0.9234
2025-03-12,0.9186
2025-03-11,0.9164
2025-03-10,0.9221
2025-03-07,0.9211
2025-03-06,0.9263
2025-03-05,0.9351
2025-03-04,0.9472
2025-03-03,0.9556
2025-02-28,0.9605
2025-02-27,0.9545
2025-02-26,0.9536
2025-02-25,0.9527
2025-02-24,0.9555
2025-02-21,0.9556
2025-02-20,0.9576
2025-02-19,0.9584
2025-02-18,0.9572
2025-02-17,0.9548
2025-02-14,0.9544
2025-02-13,0.9625
2025-02-12,0.9643
2025-02-11,0.9686
2025-02-10,0.969
2025-02-07,0.9637
2025-02-06,0.9653
2025-02-05,0.9595
2025-02-04,0.9676
2025-02-03,0.9733
2025-01-31,0.9622
2025-01-30,0.9613
2025-01-29,0.9619
2025-01-28,0.9596
2025-01-27,0.9497
2025-01-24,0.9549
2025-01-23,0.9612
2025-01-22,0.9576
2025-01-21,0.9655
2025-01-20,0.9694
2025-01-17,0.9711
2025-01-16,0.9735
2025-01-15,0.9709
2025-01-14,0.9761
2025-01-13,0.9806
2025-01-10,0.9705
2025-01-09,0.9704
2025-01-08,0.9722
2025-01-07,0.9622
2025-01-06,0.9591
2025-01-03,0.971
2025-01-02,0.9689
2024-12-31,0.9626
2024-12-30,0.9575
2024-12-27,0.9583
2024-12-24,0.962
2024-12-23,0.9622
2024-12-20,0.9625
2024-12-19,0.962
2024-12-18,0.9527
2024-12-17,0.9527
2024-12-16,0.9526
2024-12-13,0.9508
2024-12-12,0.9532
2024-12-11,0.9517
2024-12-10,0.9499
2024-12-09,0.9463
2024-12-06,0.9451
2024-12-05,0.9488
2024-12-04,0.9531
2024-12-03,0.9513
2024-12-02,0.9517
2024-11-29,0.9468
2024-11-28,0.9486
2024-11-27,0.9496
2024-11-26,0.9504
2024-11-25,0.9528
2024-11-22,0.9604
2024-11-21,0.95
2024-11-20,0.9468
2024-11-19,0.9454
2024-11-18,0.9477
2024-11-15,0.9449
2024-11-14,0.9494
2024-11-13,0.9408
2024-11-12,0.9419
2024-11-11,0.9389
2024-11-08,0.9283
2024-11-07,0.9272
2024-11-06,0.935
2024-11-05,0.9177
2024-11-04,0.9171
2024-11-01,0.9187
2024-10-31,0.9189
2024-10-30,0.9246
2024-10-29,0.9282
2024-10-28,0.9244
2024-10-25,0.9238
2024-10-24,0.9258
2024-10-23,0.9288
2024-10-22,0.9241
2024-10-21,0.9214
2024-10-18,0.9219
2024-10-17,0.9203
2024-10-16,0.9177
2024-10-15,0.9172
2024-10-14,0.9162
2024-10-11,0.9142
2024-10-10,0.9147
2024-10-09,0.9127
2024-10-08,0.9106
2024-10-07,0.9106
2024-10-04,0.9067
2024-10-03,0.9059
2024-10-02,0.9033
2024-10-01,0.902
2024-09-30,0.8932
2024-09-27,0.8962
2024-09-26,0.8965
2024-09-25,0.8933
2024-09-24,0.8982
2024-09-23,0.8994
2024-09-20,0.8956
2024-09-19,0.8964
2024-09-18,0.899
2024-09-17,0.8977
2024-09-16,0.8988
2024-09-13,0.9024
2024-09-12,0.9078
2024-09-11,0.9056
2024-09-10,0.9065
2024-09-09,0.9056
2024-09-06,0.9007
2024-09-05,0.9011
2024-09-04,0.905
2024-09-03,0.9062
2024-09-02,0.9041
2024-08-30,0.902
2024-08-29,0.9019
2024-08-28,0.8995
2024-08-27,0.8959
2024-08-26,0.8958
2024-08-23,0.8992
2024-08-22,0.8981
2024-08-21,0.8996
2024-08-20,0.9022
2024-08-19,0.9057
2024-08-16,0.9096
2024-08-15,0.9082
2024-08-14,0.9075
2024-08-13,0.9148
2024-08-12,0.9153
2024-08-09,0.916
2024-08-08,0.9149
2024-08-07,0.9156
2024-08-06,0.9162
2024-08-05,0.9119
2024-08-02,0.9229
2024-08-01,0.9269
