Date,Price
2020-01-01,0.891200
2020-01-02,0.891200
2020-01-03,0.895140
2020-01-06,0.895900
2020-01-07,0.893017
2020-01-08,0.896480
2020-01-09,0.899830
2020-01-10,0.900000
2020-01-13,0.899550
2020-01-14,0.898010
2020-01-15,0.898400
2020-01-16,0.896539
2020-01-17,0.897700
2020-01-20,0.901340
2020-01-21,0.901150
2020-01-22,0.902070
2020-01-23,0.901190
2020-01-24,0.904550
2020-01-27,0.907000
2020-01-28,0.907460
2020-01-29,0.907230
2020-01-30,0.907700
2020-01-31,0.906690
2020-02-03,0.901730
2020-02-04,0.903920
2020-02-05,0.905200
2020-02-06,0.908900
2020-02-07,0.910500
2020-02-10,0.913300
2020-02-11,0.916300
2020-02-12,0.915800
2020-02-13,0.919460
2020-02-14,0.922000
2020-02-17,0.922360
2020-02-18,0.922500
2020-02-19,0.926320
2020-02-20,0.925061
2020-02-21,0.926956
2020-02-24,0.922590
2020-02-25,0.921727
2020-02-26,0.918949
2020-02-27,0.918620
2020-02-28,0.909320
2020-03-02,0.904870
2020-03-03,0.897340
2020-03-04,0.894400
2020-03-05,0.897740
2020-03-06,0.890960
2020-03-09,0.878270
2020-03-10,0.877350
2020-03-11,0.883665
2020-03-12,0.887980
2020-03-13,0.894060
2020-03-16,0.896430
2020-03-17,0.895800
2020-03-18,0.907810
2020-03-19,0.912280
2020-03-20,0.938320
2020-03-23,0.935070
2020-03-24,0.928970
2020-03-25,0.925700
2020-03-26,0.918310
2020-03-27,0.905120
2020-03-30,0.897740
2020-03-31,0.906580
2020-04-01,0.906900
2020-04-02,0.912940
2020-04-03,0.921880
2020-04-06,0.925330
2020-04-07,0.925600
2020-04-08,0.917840
2020-04-09,0.920500
2020-04-10,0.915130
2020-04-13,0.914690
2020-04-14,0.915500
2020-04-15,0.910300
2020-04-16,0.917002
2020-04-17,0.920940
2020-04-20,0.920220
2020-04-21,0.920400
2020-04-22,0.921110
2020-04-23,0.925100
2020-04-24,0.927900
2020-04-27,0.923900
2020-04-28,0.923800
2020-04-29,0.922800
2020-04-30,0.919350
2020-05-01,0.913620
2020-05-04,0.912440
2020-05-05,0.917070
2020-05-06,0.922630
2020-05-07,0.926050
2020-05-08,0.922750
2020-05-11,0.922550
2020-05-12,0.925120
2020-05-13,0.921930
2020-05-14,0.923900
2020-05-15,0.925330
2020-05-18,0.924100
2020-05-19,0.916160
2020-05-20,0.915100
2020-05-21,0.910500
2020-05-22,0.913000
2020-05-25,0.916775
2020-05-26,0.917179
2020-05-27,0.910600
2020-05-28,0.907700
2020-05-29,0.902600
2020-06-01,0.899400
2020-06-02,0.898800
2020-06-03,0.893700
2020-06-04,0.890000
2020-06-05,0.882000
2020-06-08,0.883430
2020-06-09,0.884520
2020-06-10,0.882440
2020-06-11,0.879860
2020-06-12,0.885890
2020-06-15,0.888730
2020-06-16,0.882010
2020-06-17,0.887650
2020-06-18,0.889450
2020-06-19,0.891981
2020-06-22,0.894650
2020-06-23,0.886550
2020-06-24,0.883990
2020-06-25,0.888820
2020-06-26,0.891100
2020-06-29,0.890800
2020-06-30,0.889110
2020-07-01,0.890000
2020-07-02,0.888780
2020-07-03,0.889850
2020-07-06,0.889110
2020-07-07,0.883950
2020-07-08,0.886900
2020-07-09,0.881900
2020-07-10,0.885900
2020-07-13,0.884170
2020-07-14,0.881407
2020-07-15,0.876370
2020-07-16,0.875872
2020-07-17,0.877800
2020-07-20,0.873900
2020-07-21,0.872700
2020-07-22,0.867000
2020-07-23,0.864400
2020-07-24,0.862360
2020-07-27,0.858180
2020-07-28,0.849670
2020-07-29,0.853330
2020-07-30,0.848690
2020-07-31,0.842300
2020-08-03,0.848730
2020-08-04,0.850100
2020-08-05,0.846350
2020-08-06,0.842260
2020-08-07,0.842000
2020-08-10,0.848700
2020-08-11,0.851950
2020-08-12,0.852040
2020-08-13,0.847903
2020-08-14,0.846270
2020-08-17,0.843700
2020-08-18,0.842000
2020-08-19,0.836970
