Date,Price
2022-01-03,0.879240
2022-01-04,0.884780
2022-01-05,0.886240
2022-01-06,0.883900
2022-01-07,0.885200
2022-01-10,0.880750
2022-01-11,0.882580
2022-01-12,0.879780
2022-01-13,0.874000
2022-01-14,0.872820
2022-01-17,0.876370
2022-01-18,0.876380
2022-01-19,0.882640
2022-01-20,0.881570
2022-01-21,0.883880
2022-01-24,0.881720
2022-01-25,0.883070
2022-01-26,0.884600
2022-01-27,0.889400
2022-01-28,0.897100
2022-01-31,0.896670
2022-02-01,0.890500
2022-02-02,0.887000
2022-02-03,0.884960
2022-02-04,0.874450
2022-02-07,0.872970
2022-02-08,0.873900
2022-02-09,0.875560
2022-02-10,0.875540
2022-02-11,0.876000
2022-02-14,0.879890
2022-02-15,0.884460
2022-02-16,0.880530
2022-02-17,0.879100
2022-02-18,0.879780
2022-02-21,0.883610
2022-02-22,0.884200
2022-02-23,0.882680
2022-02-24,0.884510
2022-02-25,0.893600
2022-02-28,0.894370
2022-03-01,0.891590
2022-03-02,0.898250
2022-03-03,0.899900
2022-03-04,0.903600
2022-03-07,0.919580
2022-03-08,0.920360
2022-03-09,0.917580
2022-03-10,0.903030
2022-03-11,0.907940
2022-03-14,0.914740
2022-03-15,0.913810
2022-03-16,0.911630
2022-03-17,0.907280
2022-03-18,0.900940
2022-03-21,0.905540
2022-03-22,0.907670
2022-03-23,0.906640
2022-03-24,0.908570
2022-03-25,0.908300
2022-03-28,0.910590
2022-03-29,0.909600
2022-03-30,0.901590
2022-03-31,0.895910
2022-04-01,0.903150
2022-04-04,0.905200
2022-04-05,0.911090
2022-04-06,0.916890
2022-04-07,0.917580
2022-04-08,0.920400
2022-04-11,0.918700
2022-04-12,0.919290
2022-04-13,0.923690
2022-04-14,0.917720
2022-04-15,0.924130
2022-04-18,0.924620
2022-04-19,0.927490
2022-04-20,0.926400
2022-04-21,0.921670
2022-04-22,0.922920
2022-04-25,0.924980
2022-04-26,0.933340
2022-04-27,0.939530
2022-04-28,0.947410
2022-04-29,0.952000
2022-05-02,0.949130
2022-05-03,0.951560
2022-05-04,0.949800
2022-05-05,0.941400
2022-05-06,0.948790
2022-05-09,0.949470
2022-05-10,0.946450
2022-05-11,0.949400
2022-05-12,0.951250
2022-05-13,0.963430
2022-05-16,0.961480
2022-05-17,0.957950
2022-05-18,0.948060
2022-05-19,0.954860
2022-05-20,0.945270
2022-05-23,0.946090
2022-05-24,0.936150
2022-05-25,0.931400
2022-05-26,0.935750
2022-05-27,0.931710
2022-05-30,0.931840
2022-05-31,0.928200
2022-06-01,0.931610
2022-06-02,0.938600
2022-06-03,0.930140
2022-06-06,0.932310
2022-06-07,0.935330
2022-06-08,0.934700
2022-06-09,0.933040
2022-06-10,0.941690
2022-06-13,0.953290
2022-06-14,0.960140
2022-06-15,0.957800
2022-06-16,0.956370
2022-06-17,0.948150
2022-06-20,0.953160
2022-06-21,0.950500
2022-06-22,0.949430
2022-06-23,0.946600
2022-06-24,0.950560
2022-06-27,0.946420
2022-06-28,0.945100
2022-06-29,0.950250
2022-06-30,0.957250
2022-07-01,0.954410
2022-07-04,0.958410
2022-07-05,0.958480
2022-07-06,0.974880
2022-07-07,0.981700
2022-07-08,0.983300
2022-07-11,0.983660
2022-07-12,0.995270
2022-07-13,0.996700
2022-07-14,0.996740
2022-07-15,0.997440
2022-07-18,0.990460
2022-07-19,0.985690
2022-07-20,0.977390
2022-07-21,0.982050
2022-07-22,0.978370
2022-07-25,0.980370
2022-07-26,0.978000
2022-07-27,0.987210
2022-07-28,0.979500
2022-07-29,0.981130
2022-08-01,0.979600
2022-08-02,0.974530
2022-08-03,0.984670
2022-08-04,0.984480
2022-08-05,0.975820
2022-08-08,0.983200
2022-08-09,0.980620
2022-08-10,0.979610
2022-08-11,0.970800
2022-08-12,0.969300
2022-08-15,0.975000
2022-08-16,0.984060
2022-08-17,0.983220
2022-08-18,0.982300
2022-08-19,0.991090
2022-08-22,0.996490
2022-08-23,1.006.090
2022-08-24,1.003.320
2022-08-25,1.003.100
2022-08-26,1.002.880
2022-08-29,1.006.170
2022-08-30,0.998600
2022-08-31,0.997500
2022-09-01,0.996110
2022-09-02,1.004.790
2022-09-05,1.009.140
2022-09-06,1.004.800
2022-09-07,1.010.310
2022-09-08,1.000.430
2022-09-09,0.998800
2022-09-12,0.992910
2022-09-13,0.987210
2022-09-14,1.001.800
2022-09-15,1.001.600
2022-09-16,1.001.170
2022-09-19,0.997770
2022-09-20,0.997050
2022-09-21,1.002.930
2022-09-22,1.017.220
2022-09-23,1.016.100
2022-09-26,1.032.000
2022-09-27,1.039.100
2022-09-28,1.042.080
2022-09-29,1.030.060
2022-09-30,1.017.340
2022-10-03,1.021.170
2022-10-04,1.017.080
2022-10-05,1.001.570
2022-10-06,1.008.980
2022-10-07,1.021.550
2022-10-10,1.027.220
2022-10-11,1.029.860
2022-10-12,1.030.910
2022-10-13,1.030.080
2022-10-14,1.025.500
2022-10-17,1.026.760
2022-10-18,1.015.600
2022-10-19,1.013.800
2022-10-20,1.023.910
2022-10-21,1.022.610
2022-10-24,1.014.190
2022-10-25,1.011.480
2022-10-26,1.003.640
2022-10-27,0.990890
2022-10-28,1.003.230
2022-10-31,1.004.520
2022-11-01,1.011.500
2022-11-02,1.012.360
2022-11-03,1.018.910
2022-11-04,1.025.680
2022-11-07,1.007.170
2022-11-08,0.998140
2022-11-09,0.991980
2022-11-10,0.998050
2022-11-11,0.981140
2022-11-14,0.968190
2022-11-15,0.969060
2022-11-16,0.965450
2022-11-17,0.962000
2022-11-18,0.965090
2022-11-21,0.967970
2022-11-22,0.976020
2022-11-23,0.969830
2022-11-24,0.960040
2022-11-25,0.960790
2022-11-28,0.964550
2022-11-29,0.966600
2022-11-30,0.968570
2022-12-01,0.959200
2022-12-02,0.949810
2022-12-05,0.948390
2022-12-06,0.952660
2022-12-07,0.955200
2022-12-08,0.951180
2022-12-09,0.947000
2022-12-12,0.950370
2022-12-13,0.948610
2022-12-14,0.941030
2022-12-15,0.936650
2022-12-16,0.939800
2022-12-19,0.944730
2022-12-20,0.942100
2022-12-21,0.941000
2022-12-22,0.942500
2022-12-23,0.943100
2022-12-26,0.937400
2022-12-27,0.939830
2022-12-28,0.940100
2022-12-29,0.940800
2022-12-30,0.938020
